Are you a serious person?
Are you a hardworking person?
Are you a person who can not slack off?
Are you an honest person?
Are you a meticulous person?
Are you a cheerful person?
Are you a friendly person?
Do you have a good sense of humor?
Are you a conscientious person?
Are you a compassionate person?
Are you a responsible person?
Are you an accurate person?
Are you someone who can not let others do things for you?
Are you a meticulous person?
Are you an obsessive person?
Are you a perfectionist?
Are you a person who loves discipline and order?
Are you a flexible person?
Are you a person who cares about others?
Are you a person who asks for help from others?
Are you a person who cares about others opinions?
Are you vulnerable to setbacks?
Are you a cheerful person?
Are you a person with ups and downs?
Are you impulsive and hot-tempered?
Are you a pessimistic person?
Are you a person who is dependent on others?
